№,Назва товару,Категорія,Готівкова ціна
32,"Ja Solar JAM54D41-455/LR","Сонячні батареї","0,160 $/Вт (1 шт) / 0,162 $/Вт з ПДВ (опт)"
33,"Suntech (Tier 1)","Сонячні батареї","за запитом"
34,"STP490S-I60-Nsfb+","Сонячні батареї","0,165 $/Вт (1 шт) / 0,160 $/Вт (опт)"
35,"STP625S-H66-Nsh+","Сонячні батареї","0,150 $/Вт (1 шт) / 0,145 $/Вт (опт)"
36,"TCL Solar (Tier 1)","Сонячні батареї","за запитом"
37,"TCL  Solar HSM-ND48-DR455 Bifacial","Сонячні батареї","0,170 $/Вт (1 шт) / 0,165 $/Вт (опт)"
38,"Axioma Energy 12V","Сонячні батареї","за запитом"
39,"AX-50P AXIOMA energy","Сонячні батареї","48 $ (гот)"
40,"AX-50M AXIOMA energy","Сонячні батареї","50 $ (гот)"
41,"AX-80P AXIOMA energy","Сонячні батареї","68 $ (гот)"
42,"AX-100P AXIOMA energy","Сонячні батареї","75 $ (гот)"
43,"AX-100M AXIOMA energy","Сонячні батареї","80 $ (гот)"
44,"AX-150M AXIOMA energy","Сонячні батареї","102 $ (гот)"
45,"AX-200M AXIOMA energy","Сонячні батареї","120 $ (гот)"
46,"Altek 12V","Сонячні батареї","за запитом"
47,"ALM-50M Altek","Сонячні батареї","52 $ (гот)"
48,"ALM-100M Altek","Сонячні батареї","70 $ (гот)"
49,"ALM-170M Altek","Сонячні батареї","108 $ (гот)"
50,"ALM-180M Altek","Сонячні батареї","128 $ (гот)"
51,"Deye, LV (низьковольтові)","Гібридні інвертори","за запитом"
52,"Deye SUN-5KSG03LP1-EU","Гібридні інвертори","750 $ (гот)"
53,"Deye SUN-6KSG05LP1-EU","Гібридні інвертори","750 $ (опт) / 910 $ (роздріб)"
54,"Deye SUN-8KSG05LP1-EU","Гібридні інвертори","1 080 $ (опт) / 1 300 $ (роздріб)"
55,"Deye SUN-10K-SG02LP1-EU","Гібридні інвертори","1 480 $ (опт) / 1 780 $ (роздріб)"
56,"Deye SUN-10KSG05LP3-EU  (НОВИНКА)","Гібридні інвертори","10"
57,"Deye SUN-12K-SG02 LP1-EU","Гібридні інвертори","1 520 $ (опт) / $1 840,00 (роздріб)"
58,"Deye SUN-12KSG05LP3-EU  (НОВИНКА)","Гібридні інвертори","1 580 $ (опт) / 1 940 $ (роздріб)"
59,"Deye SUN-12KSG04LP3-EU","Гібридні інвертори","12"
60,"Deye SUN-15K-SG05LP3-EU-SM2 (НОВИНКА)","Гібридні інвертори","1 800 $ (опт) / $2 260,00 (роздріб)"
61,"Deye SUN-16K-SG01LP1-EU (НОВИНКА)","Гібридні інвертори","1 850 $ (опт) / $2 380,00 (роздріб)"
62,"Deye SUN-20-SG05LP3-EU-SM2 (НОВИНКА)","Гібридні інвертори","2 400 $ (опт) / $2 900,00 (роздріб)"
63,"Deye, HV (високовольтові)","Гібридні інвертори","за запитом"
64,"Deye SUN-15K-SG01HP3-EU-АM2","Гібридні інвертори","15"
65,"Deye SUN-20K-SG01HP3-EU-АM2","Гібридні інвертори","20"
66,"Deye SUN-25K-SG01HP3-EU-AM2","Гібридні інвертори","1 960 $ (опт) / $2 360,00 (роздріб)"
67,"Deye SUN-30K-SG02HP3-EU-AM3 (НОВИНКА)","Гібридні інвертори","2 600 $ (опт) / $3 060,00 (роздріб)"
68,"Deye SUN-30K-SG01HP3-EU-BM3","Гібридні інвертори","30"
69,"Deye SUN-50K-SG01HP3-EU-BM4","Гібридні інвертори","4 050 $ (опт) / 4 900 $ (роздріб)"
70,"Deye SUN-60K-SG02HP3-EU-EM6","Гібридні інвертори","5 200 $ (опт) / $6 200,00 (роздріб)"
71,"Deye SUN-75K-SG02HP3-EU-EM6","Гібридні інвертори","75"
72,"Deye SUN-80K-SG01HP3-EU-BM6","Гібридні інвертори","5 500 $ (опт) / $6 600,00 (роздріб)"
73,"Deye SUN-100K-SG02HP3-EU-GM10 (НОВИНКА)","Гібридні інвертори","6 800 $ (опт) / 8 160 $ (роздріб)"
74,"Deye SUN-125K-SG02HP3-EU-GM10 (НОВИНКА)","Гібридні інвертори","7 100 $ (опт) / 8 520 $ (роздріб)"
75,"LuxPower Tec","Гібридні інвертори","за запитом"
76,"LuxPower SNA5000 WIDE PV, 5кВт","Гібридні інвертори","520 $ (гот)"
77,"LuxPower SNA6000 WIDE PV, 6кВт","Гібридні інвертори","570 $ (гот)"
78,"Huawei","Гібридні інвертори","за запитом"
79,"SUN2000-5KTL-L1","Гібридні інвертори","€600,00 (гот)"
80,"SUN2000-6KTL-L1","Гібридні інвертори","€750,00 (гот)"
81,"SUN 2000-10KTL-M1","Гібридні інвертори","€1 250,00 (гот)"
82,"Комплект - гібридний інвертор 6 кВт + АКБ 10кВт + Cиловий модуль + Система перемикання + Смарт мітер","Гібридні інвертори","€3 000,00 (гот)"
83,"SUN 2000-12К-МВО (13,2 kW) НОВИНКА","Гібридні інвертори","€2 142,00 (гот)"
84,"SUN 2000-15К-МВО (16,5 kW) НОВИНКА","Гібридні інвертори","€2 415,00 (гот)"
85,"SUN 2000-17К-МВО (18,7 kW) НОВИНКА","Гібридні інвертори","€2 470,00 (гот)"
86,"SUN 2000-20К-МВО (22 kW) НОВИНКА","Гібридні інвертори","€2 609,00 (гот)"
87,"SUN 2000-25К-МВО (27,5 kW) НОВИНКА","Гібридні інвертори","€2 670,00 (гот)"
88,"Battery module LUNA2000-5-E0","Гібридні інвертори","€2 115,00 (гот)"
89,"Power module LUNA2000-5KW-C0","Гібридні інвертори","€855,00 (гот)"
90,"Back up system 1-phase","Гібридні інвертори","€417,00 (гот)"
91,"Back up system 3-phase","Гібридні інвертори","€667,00 (гот)"
92,"LUNA2000 Wall Mounting Bracket","Гібридні інвертори","€78,00 (гот)"
93,"Solax Power","Гібридні інвертори","за запитом"
94,"PROSOLAX X1-HYBRID-5.0M","Гібридні інвертори","900 $ (гот)"
95,"PROSOLAX X1-HYBRID-6.0M","Гібридні інвертори","950 $ (гот)"
96,"PROSOLAX X1-HYBRID-7.50M","Гібридні інвертори","1 250 $ (гот)"
97,"PROSOLAX X3-HYBRID-10.0M/D","Гібридні інвертори","1 950 $ (гот)"
98,"PROSOLAX X3-HYBRID-12.0M/D","Гібридні інвертори","2 100 $ (гот)"
99,"PROSOLAX X3-HYBRID-15.0M/D","Гібридні інвертори","2 000 $ (гот)"
100,"PROSOLAX X1-Mate box","Гібридні інвертори","620 $ (гот)"
101,"PROSOLAX X3-Mate box","Гібридні інвертори","690 $ (гот)"
102,"Power Meter DDSU666","Гібридні інвертори","132 $ (гот)"
103,"Power Meter DTSU666-D-CT","Гібридні інвертори","190 $ (гот)"
104,"Multi X3-EPS BOX","Гібридні інвертори","2 079 $ (гот)"
105,"PARALLEL BMS BOX-II","Гібридні інвертори","1 172 $ (гот)"
106,"PROSOLAX Wi-Fi stick","Гібридні інвертори","38 $ (гот)"
107,"PROSOLAX Pocket Lan V2.0","Гібридні інвертори","38 $ (гот)"
108,"PROSOLAX Master Pack T-BAT H5.8","Гібридні інвертори","2 400 $ (гот)"
109,"PROSOLAX Slave Pack T-BAT HV11550","Гібридні інвертори","2 060 $ (гот)"
110,"PROSOLAX T-BAT H 3.0","Гібридні інвертори","1 087 $ (гот)"
111,"PROSOLAX BMS-МС0600","Гібридні інвертори","588 $ (гот)"
112,"Комплект: Інвертор + АКБ + Захист + конект бокс + мітер + моніторинг","Гібридні інвертори","1 600 $ (гот)"
113,"Комплект: Інвертор + АКБ + Захист + конект бокс + мітер + моніторинг","Гібридні інвертори","1 750 $ (гот)"
114,"Комплект: Інвертор + АКБ + Захист + конект бокс + мітер + моніторинг","Гібридні інвертори","1 900 $ (гот)"
115,"Комплект: Інвертор + АКБ + Захист + конект бокс + мітер + моніторинг","Гібридні інвертори","4 500 $ (гот)"
116,"Solis","Гібридні інвертори","за запитом"
117,"Solis RHI-3P10K-HVES-5G","Гібридні інвертори","990 $ (гот)"
118,"RHI-3P10K-48ES-5G + PYLONTECH Force-H2","Гібридні інвертори","3 900 $ (гот)"
119,"Інвертори Deye","Мережеві інвертори","за запитом"
120,"Deye SUN-10K-G04","Мережеві інвертори","650 $ (гот)"
121,"Deye SUN-15K-G04","Мережеві інвертори","690 $ (гот)"
122,"Deye SUN-20K-G04","Мережеві інвертори","850 $ (опт) / 1050 $ (роздріб)"
123,"Deye SUN-30K-G04","Мережеві інвертори","1 050 $ (опт) / 1250 $ (роздріб)"
124,"Deye SUN-50K-G04","Мережеві інвертори","1 690 $ (опт) / 1920 $ (роздріб)"
125,"Deye SUN-60K-G04","Мережеві інвертори","2 550 $ (опт) / 2800 $ (роздріб)"
126,"Deye SUN-100K-G04","Мережеві інвертори","2 600 $ (опт) / 3000 $ (роздріб)"
127,"Інвертори Huawei","Мережеві інвертори","за запитом"
128,"Однофазні гібридні інвертори Huawei","Мережеві інвертори","за запитом"
129,"Huawei SUN2000-5KTL-L1","Мережеві інвертори","€1 120,00 (гот)"
130,"Huawei SUN2000L-6KTL-L1","Мережеві інвертори","€1 180,00 (гот)"
131,"Трифазні гібридні інвертори Huawei","Мережеві інвертори","за запитом"
132,"Huawei SUN2000-5KTL-M0","Мережеві інвертори","---- (гот)"
133,"Huawei SUN2000-8KTL-M0","Мережеві інвертори","€1 220,00 (гот)"
134,"Huawei SUN2000-10KTL-M0","Мережеві інвертори","€1 280,00 (гот)"
135,"Мережеві інвертори Huawei","Мережеві інвертори","за запитом"
136,"Huawei SUN 2000-8KTL","Мережеві інвертори","€1 050,00 (гот)"
137,"Huawei SUN 2000-8KTL-M1","Мережеві інвертори","€1 540,00 (гот)"
138,"Huawei SUN 2000-10KTL-M1","Мережеві інвертори","€1 675,00 (гот)"
139,"Huawei SUN 2000-12KTL","Мережеві інвертори","€1 150,00 (гот)"
140,"Huawei SUN2000-12KTL-M0","Мережеві інвертори","€1 300,00 (гот)"
141,"Huawei SUN2000-12KTL-M5","Мережеві інвертори","€1 757,00 (гот)"
142,"Huawei SUN2000-15KTL-M0","Мережеві інвертори","€1 600,00 (гот)"
143,"Huawei SUN2000-15KTL-M5","Мережеві інвертори","€1 500,00 (гот)"
144,"Huawei SUN2000-17KTL-M0","Мережеві інвертори","€1 470,00 (гот)"
145,"Huawei SUN2000-17KTL-M5","Мережеві інвертори","€1 480,00 (гот)"
146,"Huawei SUN2000-20KTL-M0","Мережеві інвертори","€1 620,00 (опт) / €2 000,00 (роздріб)"
147,"Huawei SUN2000-20KTL-M5","Мережеві інвертори","€1 670,00 (гот)"
148,"Huawei SUN2000-25KTL-M5","Мережеві інвертори","€2 000,00 (гот)"
149,"Huawei SUN 2000-30KTL-M3","Мережеві інвертори","€1 990,00 (опт) / €2 360,00 (роздріб)"
150,"Huawei SUN 2000-33KTL-A","Мережеві інвертори","€1 900,00 (гот)"
151,"Huawei SUN 2000-36KTL","Мережеві інвертори","€2 450,00 (гот)"
152,"Huawei SUN 2000-36KTL-M3","Мережеві інвертори","€2 300,00 (опт) / €2 788,00 (роздріб)"
153,"Huawei SUN 2000-40KTL-M3","Мережеві інвертори","€2 750,00 (опт) / €2 840,00 (роздріб)"
154,"Huawei SUN 2000-50KTL-M0","Мережеві інвертори","€2 500,00 (опт) / €2 900,00 (роздріб)"
155,"Huawei SUN 2000-50KTL-M3","Мережеві інвертори","€2 400,00 (опт) / €2 800,00 (роздріб)"
156,"Huawei SUN 2000-60KTL-M0","Мережеві інвертори","€3 350,00 (опт) / €3 400,00 (роздріб)"
157,"Huawei SUN 2000-100KTL-M1","Мережеві інвертори","€4 100,00 (опт) / €4 600,00 (роздріб)"
158,"Huawei SUN 2000-100KTL-M2","Мережеві інвертори","€4 100,00 (опт) / €4 450,00 (роздріб)"
159,"Huawei SUN 2000-115KTL-M2","Мережеві інвертори","€4 700,00 (опт) / €5 000,00 (роздріб)"
160,"Huawei SUN 2000-150KTL-MG0","Мережеві інвертори","€5 900,00 (опт) / €6 450,00 (роздріб)"
161,"Аксесуари до інверторів Huawei","Мережеві інвертори","за запитом"
162,"Smart Dongle 05","Мережеві інвертори","€65,00 (опт) / €75,00 (роздріб)"
163,"Smart 4G","Мережеві інвертори","€155,00 (опт) / €175,00 (роздріб)"
164,"Smart Logger 3000a01","Мережеві інвертори","€500,00 (опт) / €550,00 (роздріб)"
165,"Smart Logger 3000a01 plc","Мережеві інвертори","€1 200,00 (опт) / €1 320,00 (роздріб)"
166,"SUN2000P-375W","Мережеві інвертори","€72,00 (гот)"
167,"смарт мітер DTSU666-HW 80A пряме включення, більше на зовншні транси","Мережеві інвертори","€210,00 (опт) / €230,00 (роздріб)"
168,"смарт мітер DTSU666-H 250A/50mA","Мережеві інвертори","€185,00 (опт) / €210,00 (роздріб)"
169,"Janitza UMG 103-CBM","Мережеві інвертори","€510,00 (опт) / €550,00 (роздріб)"
170,"Трансформатор струму","Мережеві інвертори","€50,00 (опт) / €65,00 (роздріб)"
171,"Трансформатор струму","Мережеві інвертори","€60,00 (опт) / €70,00 (роздріб)"
172,"Трансформатор струму","Мережеві інвертори","€75,00 (опт) / €80,00 (роздріб)"
173,"Мережевий інвертор Solis","Мережеві інвертори","за запитом"
174,"Однофазні інвертори","Мережеві інвертори","за запитом"
175,"Solis S6-GR1P3K-M","Мережеві інвертори","516 $ (гот)"
176,"Solis S6-GR1P4K-M","Мережеві інвертори","690 $ (гот)"
177,"Solis S6-GR1P5K-M","Мережеві інвертори","790 $ (гот)"
178,"Solis S6-GR1P6K-M","Мережеві інвертори","832 $ (гот)"
179,"Трифазні інвертори","Мережеві інвертори","за запитом"
180,"Solis-3P5K-4G","Мережеві інвертори","$740,00 (гот)"
181,"Solis-3P10K-4G-DC","Мережеві інвертори","$1 080,00 (гот)"
182,"Solis-3P15K-4G-DC","Мережеві інвертори","$1 320,00 (гот)"
183,"Solis-3P17K-4G-DC","Мережеві інвертори","$1 200,00 (гот)"
184,"Solis 3P20K-4G","Мережеві інвертори","$1 300,00 (гот)"
185,"Solis- 3P-30K-5G+WiFi","Мережеві інвертори","$1 300,00 (гот)"
186,"Solis S5-GC30K","Мережеві інвертори","$1 300,00 (гот)"
187,"Solis- S5-GC40K+WiFi","Мережеві інвертори","$2 300,00 (гот)"
188,"Solis- S5-GC50K+WiFi","Мережеві інвертори","$1 900,00 (гот)"
189,"Solis- S5-GC100K+WiFi","Мережеві інвертори","$2 900,00 (гот)"
190,"Solis- S5-GC110K+WiFi","Мережеві інвертори","$4 650,00 (гот)"
191,"Solis S5-GR3P4K","Мережеві інвертори","$1 030,00 (гот)"
192,"Solis S5-GR3P6K","Мережеві інвертори","$1 100,00 (гот)"
193,"Solis S5-GR3P8K","Мережеві інвертори","$1 160,00 (гот)"
194,"Solis S5-GR3P10K","Мережеві інвертори","$1 200,00 (гот)"
195,"Solis S5-GR3P12K","Мережеві інвертори","$1 250,00 (гот)"
196,"Solis S5-GR3P15K","Мережеві інвертори","$1 280,00 (гот)"
197,"Solis S5-GR3P17K","Мережеві інвертори","$1 280,00 (гот)"
198,"Solis S5-GR3P20K","Мережеві інвертори","$1 300,00 (гот)"
199,"Solis S5-GC25K","Мережеві інвертори","$1 300,00 (гот)"
200,"Data Loger WiFi Solis","Мережеві інвертори","$45,00 (гот)"
201,"Мережеві інвертори Axioma","Мережеві інвертори","за запитом"
202,"Axioma Axgrid-1,5/2","Мережеві інвертори","$580,00 (гот)"
203,"Axioma Axgrid-3/4","Мережеві інвертори","$620,00 (гот)"
204,"Axioma Axgrid-5/6","Мережеві інвертори","$670,00 (гот)"
205,"Axioma Axgrid-6/8","Мережеві інвертори","$770,00 (гот)"
206,"Axioma Axgrid-5/6-3","Мережеві інвертори","$1 020,00 (гот)"
207,"Axioma Axgrid-8/11","Мережеві інвертори","$1 050,00 (гот)"
208,"Axioma Axgrid-10/13","Мережеві інвертори","$1 100,00 (гот)"
209,"Axioma Axgrid-12/16","Мережеві інвертори","$1 184,00 (гот)"
210,"Axioma Axgrid-15/20","Мережеві інвертори","$1 200,00 (гот)"
211,"Axioma Axgrid-17/23","Мережеві інвертори","$1 340,00 (гот)"
212,"Axioma Axgrid-20/27","Мережеві інвертори","$1 360,00 (гот)"
213,"Axioma Axgrid-25/34","Мережеві інвертори","$1 790,00 (гот)"
214,"Axioma Axgrid-30/40","Мережеві інвертори","$1 750,00 (гот)"
215,"Axioma Axgrid-50/67","Мережеві інвертори","$2 300,00 (гот)"
216,"Аксесуари до інверторів Axioma","Мережеві інвертори","за запитом"
217,"Energymeter","Мережеві інвертори","$75,00 (гот)"
218,"Мережеві інвертори Trannergy","Мережеві інвертори","за запитом"
219,"Трифазні інвертори","Мережеві інвертори","за запитом"
220,"TRB5000TL","Мережеві інвертори","1036$ (гот)"
221,"TRB010KTL","Мережеві інвертори","1124$ (гот)"
222,"TRN012KTL","Мережеві інвертори","1468$ (гот)"
223,"TRN015KTL","Мережеві інвертори","1468$ (гот)"
224,"TRN017KTL","Мережеві інвертори","1420$ (гот)"
225,"TRN020KTL","Мережеві інвертори","1520$ (гот)"
226,"TRN025KTL","Мережеві інвертори","1744$ (гот)"
227,"TRN0030KTL","Мережеві інвертори","1888$ (гот)"
228,"Трифазні інвертори Goodwe","Мережеві інвертори","за запитом"
229,"Однофазні інвертори","Мережеві інвертори","за запитом"
230,"GW1500-NS","Мережеві інвертори","1500"
231,"GW3000-NS","Мережеві інвертори","3000"
232,"GW5000D-NS","Мережеві інвертори","5000"
233,"Трифазні інвертори","Мережеві інвертори","за запитом"
234,"GW10KN-DT","Мережеві інвертори","1350 (гот)"
235,"GW15KN-DT","Мережеві інвертори","1900 (гот)"
236,"GW17KN-DT","Мережеві інвертори","1950 (гот)"
237,"GW20KN-DT","Мережеві інвертори","2000$ (гот)"
238,"GW30KN-DT","Мережеві інвертори","1950$ (гот)"
239,"Мережеві інвертори Altek","Мережеві інвертори","за запитом"
240,"Однофазні інвертори","Мережеві інвертори","за запитом"
241,"ACRUX-1K-SM","Мережеві інвертори","361$ (гот)"
242,"ACRUX-1.5K-SM","Мережеві інвертори","388$ (гот)"
243,"ACRUX-2K-SM","Мережеві інвертори","427$ (гот)"
244,"АKRUX-3К-SM","Мережеві інвертори","560$ (гот)"
245,"АKSG-3.2К-DM","Мережеві інвертори","800$ (гот)"
246,"ACRUX-5K-DM","Мережеві інвертори","843$ (гот)"
247,"Трифазні інвертори","Мережеві інвертори","за запитом"
248,"ACRUX-10K-DM","Мережеві інвертори","1304$ (гот)"
249,"ACRUX-15K-DM","Мережеві інвертори","1598$ (гот)"
250,"ACRUX-20K-DM","Мережеві інвертори","1716$ (гот)"
251,"ACRUX-30K-TM","Мережеві інвертори","1760$ (гот)"
252,"ACRUX-50K-TM","Мережеві інвертори","3553$ (гот)"
253,"AKSG-60K-TM","Мережеві інвертори","3962$ (гот)"
254,"Аксесуари до інверторів Altek","Мережеві інвертори","за запитом"
255,"Зовнішній WIFI модуль","Мережеві інвертори","112$ (гот)"
256,"Обмежувач ACRUX","Мережеві інвертори","694$ (гот)"
257,"Мережеві інвертори Kstar","Мережеві інвертори","за запитом"
258,"Однофазні інвертори","Мережеві інвертори","за запитом"
259,"KSG-1-SM","Мережеві інвертори","328$ (гот)"
260,"KSG-3-SM","Мережеві інвертори","416$ (гот)"
261,"Трифазні інвертори","Мережеві інвертори","за запитом"
262,"KSG-5-SM","Мережеві інвертори","---- (гот)"
263,"KSG-10-SM+WiFi","Мережеві інвертори","$1 080,00 (гот)"
264,"KSG-12-SM+WiFi","Мережеві інвертори","$1 100,00 (гот)"
265,"KSG-15-SM+WiFi","Мережеві інвертори","$1 184,00 (гот)"
266,"KSG-17-SM+WiFi","Мережеві інвертори","17"
267,"KSG-20-SM +WiFi","Мережеві інвертори","$1 200,00 (гот)"
268,"KSG-30-SM +WiFi","Мережеві інвертори","$1 400,00 (гот)"
269,"Мережеві інвертори Growatt","Мережеві інвертори","за запитом"
270,"Однофазні інвертори","Мережеві інвертори","за запитом"
271,"1000 S","Мережеві інвертори","$350,00 (гот)"
272,"3000 S","Мережеві інвертори","$630,00 (гот)"
273,"3000","Мережеві інвертори","$568,00 (гот)"
274,"5000 TL","Мережеві інвертори","$830,00 (гот)"
275,"5000 MTL S","Мережеві інвертори","$900,00 (гот)"
276,"Трифазні інвертори","Мережеві інвертори","за запитом"
277,"5000 TL3-S","Мережеві інвертори","$ 1 100 (гот)"
278,"7000 TL3 S","Мережеві інвертори","$1 260,00 (гот)"
279,"8000 TL3 S","Мережеві інвертори","$1 463,00 (гот)"
280,"9000 TL3-S","Мережеві інвертори","$1 498,00 (гот)"
281,"10000 TL3 S","Мережеві інвертори","$1 564,00 (гот)"
282,"12000 TL3 S","Мережеві інвертори","$1 858,00 (гот)"
283,"13000 TL3 S","Мережеві інвертори","$2 006,00 (гот)"
284,"15000 TL3 S","Мережеві інвертори","$2 033,00 (гот)"
285,"17000 TL3 S","Мережеві інвертори","$2 173,00 (гот)"
286,"20000 TL3-S","Мережеві інвертори","$2 251,00 (гот)"
287,"25000 TL3-S","Мережеві інвертори","$2 384,00 (гот)"
288,"30000 TL3-S","Мережеві інвертори","$2 400,00 (гот)"
289,"Growatt MAX50","Мережеві інвертори","$4 150,00 (гот)"
290,"Growatt MAX60","Мережеві інвертори","$4 500,00 (гот)"
291,"Growatt MAX60","Мережеві інвертори","$5 150,00 (гот)"
292,"Growatt MAX80","Мережеві інвертори","$5 600,00 (гот)"
293,"Мережевий інвертор LogicPower","Мережеві інвертори","за запитом"
294,"Трифазні інвертори","Мережеві інвертори","за запитом"
295,"LP SIW 30 KW","Мережеві інвертори","1000 $ (опт) / АКЦІЙНА ЦІНА!!!! (роздріб)"
296,"ОДНОФАЗНІ ІНВЕРТОРИ FRONIUS","Мережеві інвертори","за запитом"
297,"PRIMO LIGHT (TL)","Мережеві інвертори","за запитом"
298,"FRPRI30-2L","Мережеві інвертори","€945,00 (гот)"
299,"FRPRI35-2L","Мережеві інвертори","€890,00 (гот)"
300,"FRPRI36-2L","Мережеві інвертори","€896,00 (гот)"
301,"FRPRI40-2L","Мережеві інвертори","€950,00 (гот)"
302,"FRPRI46-2L","Мережеві інвертори","€1 010,00 (гот)"
303,"FRPRI50-2L","Мережеві інвертори","€1 045,00 (гот)"
304,"FRPRI60-2L","Мережеві інвертори","€1 220,00 (гот)"
305,"FRPRI82-2L","Мережеві інвертори","€1 410,00 (гот)"
306,"PRIMO (TL)","Мережеві інвертори","за запитом"
307,"FRPRI35-2","Мережеві інвертори","€995,00 (гот)"
308,"FRPRI36-2","Мережеві інвертори","€1 000,00 (гот)"
309,"FRPRI40-2","Мережеві інвертори","€1 045,00 (гот)"
310,"FRPRI46-2","Мережеві інвертори","€1 102,00 (гот)"
311,"FRPRI50-2","Мережеві інвертори","€1 140,00 (гот)"
312,"FRPRI60-2","Мережеві інвертори","€1 310,00 (гот)"
313,"ТРИФАЗНІ ІНВЕРТОРИ FRONIUS","Мережеві інвертори","за запитом"
314,"SYMO M Light (2MPPT+ComCard)","Мережеві інвертори","за запитом"
315,"SYMO 3.0M-L","Мережеві інвертори","€1 030,00 (гот)"
316,"SYMO 3.7M-L","Мережеві інвертори","€1 128,00 (гот)"
317,"SYMO 4.5M-L","Мережеві інвертори","€1 192,00 (гот)"
318,"SYMO 5.0M-L","Мережеві інвертори","€1 160,00 (гот)"
319,"SYMO 6.0M-L","Мережеві інвертори","€1 230,00 (гот)"
320,"SYMO 7.0M-L","Мережеві інвертори","€1 257,00 (гот)"
321,"SYMO 8.2M-L","Мережеві інвертори","€1 596,00 (гот)"
322,"SYMO 10.0M-L","Мережеві інвертори","€1 670,00 (гот)"
323,"SYMO 12.5M-L","Мережеві інвертори","€1 900,00 (гот)"
324,"SYMO 15.0M-L","Мережеві інвертори","€2 100,00 (гот)"
325,"SYMO 17.5M-L","Мережеві інвертори","€2 200,00 (гот)"
326,"SYMO 20.0M-L","Мережеві інвертори","€2 300,00 (гот)"
327,"SYMO M  (2MPPT+WLAN)","Мережеві інвертори","за запитом"
